Data;EMPRESTIMO;SALARY;VACATION;ADVANCE_SALARY;RESCISSION;DEPOSIT;BASIC_FOOD_BASKET;BONUS;COMMISSION;DAILY;FOOD_VOUCHER;FUEL_ASSISTANCE;MEAL_VOURCHER;PIS_PAYMENT;PROFIT_SHARING_PAYMENT;PRO_LABORE_PAYMENT;REWARD;SALARY_DIFFERENCE;THIRTEENTH_SALARY;THIRTEENTH_SALARY_FIRST_INSTALLMENT;THIRTEENTH_SALARY_SECOND_INSTALLMENT;TIP;TRANSPORTATION_VOUCHER;TOTAL_DIA
08/01/2024;1147459,29;0;0;0;0;11329,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11329,8
09/01/2024;594173,7;11353866,89;237645,34;0;104214,26;220076,61;40200;0;81498,77;54009,19;107930,42;42539,25;7456,4;0;0;79292,53;146,11;0;0;0;563,44;0;44608,98;12374048,19
10/01/2024;526079,26;12146454,19;142197,52;2815;137209,63;146539,27;200;0;23837,35;15753,08;73843,98;50;11364,35;0;0;0;10246,5;0;750;0;0;500;14723,98;12726484,85
11/01/2024;351669,58;12252333,28;121246,92;1000;96056,42;423695,91;0;0;7578,68;18780,06;17244,13;150;0;0;746;0;831;0;4496,2;0;0;0;13720,33;12957878,93
12/01/2024;247069,42;8856681,95;251381,39;20858,46;352428,53;395709,62;5400;0;14483,12;10490,08;97665,76;20196,8;54479,87;0;0;34818,98;107764,79;0;38827,31;0;0;200;41023,96;10302410,62
13/01/2024;237916,72;104366,85;3314,55;0;0;14955;0;0;0;150;2425,8;1248;0;0;0;0;0;0;0;0;0;0;4249,02;130709,22
14/01/2024;105880,45;802165,88;0;0;9724,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;811890,74
15/01/2024;385214,32;2859566,63;67503,07;8655,74;118465,6;157065,58;52020;0;0;8836,7;17403,65;200;4158,8;0;0;0;11628,15;0;728,4;0;0;0;16326,65;3322558,97
16/01/2024;221290,5;1043757,25;116903,21;14723,71;239664,92;16033,23;4400;0;321124,34;11277,85;29548,91;100;0;0;0;2442;1016,96;0;1287,91;0;0;0;14697,25;1816977,54
17/01/2024;204578,73;1366471,58;52825,79;91306,91;187204,58;338501,39;0;0;279455,21;35761,81;12392,46;1195;0;0;0;37308,94;42610,73;0;1000,79;0;0;0;8486,69;2454521,88
18/01/2024;153964,49;302717,44;181585,12;566831,25;352401,79;161620,53;0;0;1648,64;21650,95;67995,65;0;230;0;0;155448,56;100;0;0;0;0;0;29585,79;1841815,72
19/01/2024;268758,39;521877,31;139330,74;419761,76;258402,14;431768,63;0;0;29047,92;5147,04;7233,55;8834,54;250;0;0;532740,89;7983,46;0;0;0;0;700;52626,88;2415704,86
20/01/2024;222194,35;0;0;0;0;22822,89;0;0;0;5386,16;0;0;0;0;0;0;0;0;0;0;0;200;0;28409,05
21/01/2024;106602;1089052,1;65146,91;1363664,45;172039,06;82591,3;3118,5;0;105240,79;6432,95;29162,49;250;4621,5;0;0;1007,9;6727,43;0;0;0;0;0;105367,66;3034423,04
22/01/2024;167718,64;175613,91;102905,63;303448,62;205262,15;198145,99;0;0;97548,18;6836,73;4498,44;14260,29;500;0;0;148072,92;2377,5;0;0;0;0;0;5581,88;1265052,24
23/01/2024;135035,46;394973,07;14180,38;258834,58;335839,56;160332,27;4800;0;10920,53;7086,71;3637,98;200;0;0;895,72;19045,77;7721,71;0;380,26;0;0;0;5691,85;1224540,39
24/01/2024;123920,66;271473,82;31221,53;807788,52;261375;59751,04;0;0;8187,63;20490,4;3162,05;300;0;0;2387;0;57210,75;0;0;0;0;0;781,8;1524129,54
25/01/2024;182124,69;741793,21;55620,69;2255344,89;220021,85;397233,11;1285,2;0;0;22493,13;14198,95;6530;844,84;0;0;0;20178,23;0;0;0;101,9;0;13594,54;3749240,54
26/01/2024;162238,42;20442,99;1500;105325,03;936,6;300;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;128654,62
27/01/2024;124654,99;378201,83;364336,63;127153,03;144473,86;126558,27;0;0;368607,08;24202,6;23118,4;0;860;0;170;22,36;17617,52;0;0;0;0;2085;5845,41;1583251,99
28/01/2024;85855,91;407792,52;92754,1;41608,21;112530,35;128565,98;0;0;1245,59;21277,49;3012,25;650;0;0;0;0;0;0;0;17104,72;0;0;40640,94;867182,15
29/01/2024;113057,16;314699,17;117299,25;19488;384505,15;43665,77;0;0;12462,1;8763,62;3346;2819,23;70;0;0;0;8379;0;0;0;0;0;12973,7;928470,99
30/01/2024;169822,4;885822,24;578556,36;27725,22;294090,9;251344,75;0;0;2750;22416,16;2061,89;100;0;0;0;0;5050,8;0;0;0;0;0;23735,93;2093654,25
31/01/2024;656082,08;135989,14;250243,33;7726,93;185503,24;44207,82;0;0;2925;12769,97;19775,66;7251,85;500;0;0;0;8675,42;0;0;0;0;700;3271,1;679539,46
01/02/2024;689025,49;3313,33;0;0;22753,64;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28066,97
02/02/2024;631417,17;0;9312,32;0;0;1358,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10670,62
03/02/2024;338901,87;1021698,43;657848,86;0;360200,22;127053,35;0;0;0;20631,42;18275,6;450;7554,35;0;0;0;128,92;0;0;0;0;0;5572,24;2219413,39
04/02/2024;143103,36;5235857,31;424866,78;1345,68;130897,3;248942,6;0;0;5;8821;985,08;0;4318,43;0;20019,16;0;5240;0;0;10994,12;0;0;31542,56;6123835,02
05/02/2024;1154815,6;5309355,78;124093,44;700;371125,41;181800,53;38272,5;0;6426,76;4893,06;54063,41;22885,7;315;0;30095,3;411063,09;15042,85;0;0;0;0;0;429161,05;6999293,88
06/02/2024;2268019,82;6316507,18;368466,92;0;158038,74;277394,85;21400;0;67875,34;8178,46;99181,74;24119;4503,96;0;1221,6;113769,75;23218,56;0;20,81;0;0;0;44133,37;7528030,28
07/02/2024;1856746,4;15424452,44;445944,6;5000;340770,43;183196,29;0;0;0;7013,51;17167,2;21964,13;29343,23;0;0;38328,16;17589;0;2000;0;0;0;87440,36;16620209,35
08/02/2024;886720,88;42500;4588,1;0;9824,42;30257;0;0;0;0;0;605,4;0;0;0;0;0;0;0;0;0;0;315,01;88089,93
09/02/2024;865405,03;158013,23;0;0;5362,57;28533,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191909,41
10/02/2024;405031,58;16253620,49;45280,01;36286,16;268110,38;662076,83;3800;0;8270,56;5805;46794,13;2644;172,5;0;1536,1;81570,51;75665,88;0;11062,67;0;0;0;15599,6;17518294,82
11/02/2024;194341,88;14737640,95;69571,59;50235,2;1694383,15;261100;420;0;0;11879,97;3462,43;0;105;0;0;151323,17;57808,63;0;5703,16;0;12350,2;0;20409,42;17076392,87
12/02/2024;242391,79;5772493,55;104229,01;1809,7;824311,46;301671,15;51300;0;26927,2;8355,87;34674,77;150;80;0;0;487209,01;15321,58;0;11496,35;1139,96;0;19,97;43527,49;7684717,07
13/02/2024;192514,56;1562371,56;198284,07;353817,48;405399,6;235099,62;340;0;240202,05;2562,5;122912,57;1690,54;700;0;0;0;44296,3;0;0;2540,61;0;0;52052,37;3222269,27
14/02/2024;314142,71;1596374,69;70277;565883,43;801734,23;340794,62;1360;0;130779,15;35365,86;10365,12;4350;0;0;30000;216804,84;18201,89;0;12000;0;0;0;9263,7;3843554,53
15/02/2024;312321,65;0;3773,2;0;13676,2;0;0;0;0;1850;0;0;0;0;0;0;0;0;0;0;0;0;21099,6;40399
16/02/2024;374729,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21377,18;21377,18
17/02/2024;225150,3;175106,4;10721,98;20275,61;9344,83;40265,58;0;0;0;2875;1478;0;0;0;0;0;2800;0;0;0;0;0;100;262967,4
18/02/2024;117904,56;1332,69;3056,52;0;11773,47;8504,39;0;0;1620,63;150;0;0;0;0;0;0;1545;0;0;0;0;0;210;28192,7
19/02/2024;206331,73;108234,75;127822,21;366628,64;112457,52;162753,08;500;0;8559,81;11301,38;5184,82;585;0;0;0;0;810;0;0;0;0;0;2953,52;907790,73
20/02/2024;271748,26;1516669,31;552800,63;916032,79;413822,6;140549,66;3118,5;0;61379,43;17701,71;9913,26;390;1976,7;0;53516,98;38701,56;8581,67;0;0;0;0;0;108857,24;3844012,04
21/02/2024;167646,36;796136,69;249020,36;1102711,55;380751,28;278179,97;2537,5;0;57315,75;29117,19;5500,65;10562,87;630,2;0;623,04;0;4474,87;0;0;0;0;0;41140,62;2958702,54
22/02/2024;161303,22;0;2620,14;2400;13223,36;0;0;0;0;300;591;0;0;0;0;0;0;0;0;0;0;0;2994,4;22128,9
23/02/2024;165333,8;0;26190,3;0;7243,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33433,69
24/02/2024;146813,81;248545,88;37396,88;1669589,42;184974,06;105393,02;0;0;9121;36300,76;25993,78;7125,22;4219,58;0;0;60100;41102,75;0;0;0;0;0;11514,78;2441377,13
25/02/2024;94569,48;960695,07;310608,12;1545273,03;148516,83;332838,29;200;0;54900,85;30998,04;7174,41;0;240,32;0;0;2449,79;40926,8;0;0;0;0;0;10082,46;3444904,01
26/02/2024;151718,12;112315,02;65293,43;339135,27;92615;107774,92;200;0;16820,47;10474,82;4159,2;2441,9;0;0;0;35307,27;200;0;0;0;0;0;25096,03;811833,33
27/02/2024;119167,54;87413,44;224529,88;29442,48;241564,26;188047,05;0;0;1099,23;4785;1705,31;730;32;0;86736,78;23500;3272,78;0;0;0;0;0;8397,8;901256,01
28/02/2024;116142,2;444632,22;105851,32;685,52;291061,21;275700,82;0;0;0;15037,08;5277,47;7130;931,12;0;31179,56;0;3111;0;0;16912,06;0;0;6518,38;1204027,76
29/02/2024;830823,06;846,23;2871,14;0;1426,73;72,69;0;0;0;6565,3;0;0;0;0;0;0;4475;0;0;0;0;0;0;16257,09
01/03/2024;869799,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2526,4;2526,4
02/03/2024;456860,46;513732,05;264157,32;100;109481,22;78360,97;4800;0;0;15072,76;21046,6;543,74;4313,8;0;509602,29;12548,58;19941,4;0;0;0;0;0;5281,96;1558982,69
03/03/2024;154616,05;530110,94;1422440,65;0;200801,28;123799,76;0;0;0;14653,85;0;0;100,16;0;91702,1;25812,7;381,53;0;0;0;0;0;28190,62;2437993,59
04/03/2024;510505,47;3753752,95;201250,06;62922,79;313274,07;109249,81;4389,05;0;7743,09;27121,41;5853,7;271,01;0;0;522594,57;151181,43;5057,11;0;0;8178,45;0;0;39253,68;5212093,18
05/03/2024;1204998,65;8583932,34;400925,65;6000;155809,37;324300,54;45400;0;2000;5474,72;109560,43;47068,72;7794,28;0;790145,24;413515,49;13867,17;0;2800;0;0;0;500033,31;11408627,26
06/03/2024;1826082,33;4373249,27;748136,52;812,23;262685,09;278351,06;1390;0;34862,69;12974,3;80951,66;8431;3506,5;0;114532,23;162521,3;15203,51;0;0;0;0;0;30798,12;6128405,48
07/03/2024;2408165,96;291379,57;7772,52;0;1836,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300988,73
08/03/2024;1280366,12;18384843,67;250768,22;7318,37;169815,06;282871,32;300;0;622;10686,73;58488,58;2413,32;4386,8;0;1605,19;2700;774;0;0;5101,6;0;0;14144,49;19196839,35
09/03/2024;669160,1;17984566,16;241557,48;1000;307784,49;265104,16;3230;0;7576;45685,06;43755,39;3856,12;39833,75;0;0;1306,1;76471,57;0;0;0;0;0;24399,39;19046125,67
10/03/2024;315417,52;14001818,25;813328,89;17918,3;257035,88;233373,09;19190;0;9431,85;21742,55;72659;3057,18;246,96;0;7300,97;539647,84;51266,18;0;0;0;0;0;22880,17;16070897,11
11/03/2024;585110,76;5018360,87;178935,5;2043,22;120068,27;319428,26;5599;0;32109,16;17872,43;21059,93;0;123,48;0;68388,48;153116,44;22857,16;0;0;0;0;0;16695,35;5976657,55
12/03/2024;408474,39;3386611,64;188258,59;7743,18;189200,49;464628,07;41480;0;213858,8;6060,82;28488,69;7526,95;385;0;403,87;1700;15081,28;0;4482,76;1588,5;1200;0;54858,72;4613557,36
13/03/2024;324316,17;29570,22;6984,44;0;812,97;0;0;0;0;286;0;0;0;0;0;0;311;0;0;0;0;0;0;37964,63
14/03/2024;288406,81;69929,32;0;0;66854,42;1995,79;0;0;0;195;0;600;0;0;0;0;0;0;0;0;0;0;0;139574,53
